train/policy_loss,time/time_elapsed,time/fps,train/std,time/iterations,time/total_timesteps,train/value_loss,rollout/ep_rew_mean,rollout/ep_len_mean,train/explained_variance,train/entropy_loss,train/learning_rate,train/n_updates
0.011064461432397366,2755,505,0.8595658540725708,278500,1392500,4.2253173887729645e-05,-172.0,1.0,nan,-1.8384332656860352,0.0007,278499
0.02073727175593376,2756,505,0.8576143383979797,278600,1393000,9.837094694375992e-05,-172.0,1.0,nan,-1.8243881464004517,0.0007,278599
0.010632391087710857,2757,505,0.8602731823921204,278700,1393500,5.6131044402718544e-05,-172.0,1.0,nan,-1.8218599557876587,0.0007,278699
0.02825145795941353,2758,505,0.8685425519943237,278800,1394000,0.00023329653777182102,-172.0,1.0,nan,-1.8398631811141968,0.0007,278799
-0.016961630433797836,2759,505,0.8598036766052246,278900,1394500,6.271549500524998e-05,-172.0,1.0,nan,-1.8212627172470093,0.0007,278899
-0.06032469496130943,2760,505,0.8523736596107483,279000,1395000,0.0006785923615098,-172.0,1.0,nan,-1.8048845529556274,0.0007,278999
-0.034262336790561676,2761,505,0.8549615144729614,279100,1395500,0.0004180707037448883,-172.0,1.0,nan,-1.796271562576294,0.0007,279099
-0.03434311971068382,2762,505,0.860023558139801,279200,1396000,0.0003545442596077919,-172.0,1.0,nan,-1.811977744102478,0.0007,279199
0.011689761653542519,2763,505,0.853797435760498,279300,1396500,7.460126653313637e-06,-172.0,1.0,nan,-1.7970901727676392,0.0007,279299
-0.04404390603303909,2764,505,0.8456960320472717,279400,1397000,0.00042634792043827474,-172.0,1.0,nan,-1.7911138534545898,0.0007,279399
0.05299043655395508,2765,505,0.8457658886909485,279500,1397500,0.001055139466188848,-172.0,1.0,nan,-1.7909361124038696,0.0007,279499
-0.04253711923956871,2766,505,0.8371297121047974,279600,1398000,0.0006579237524420023,-172.0,1.0,nan,-1.7813560962677002,0.0007,279599
-0.04629800468683243,2767,505,0.832909345626831,279700,1398500,0.0003862529993057251,-172.0,1.0,nan,-1.7828582525253296,0.0007,279699
0.004306797869503498,2768,505,0.8367536067962646,279800,1399000,3.1872186809778214e-06,-172.0,1.0,nan,-1.7932474613189697,0.0007,279799
0.09233018010854721,2769,505,0.8306552171707153,279900,1399500,0.002476860536262393,-172.0,1.0,nan,-1.7825853824615479,0.0007,279899
0.0517689473927021,2770,505,0.8276053071022034,280000,1400000,0.0005457459483295679,-172.0,1.0,nan,-1.7876793146133423,0.0007,279999
0.0364530012011528,2771,505,0.8253709077835083,280100,1400500,0.00022681639529764652,-172.0,1.0,nan,-1.7852222919464111,0.0007,280099
0.06615426391363144,2772,505,0.8205868601799011,280200,1401000,0.0007722456357441843,-172.0,1.0,nan,-1.785079836845398,0.0007,280199
-0.008909950032830238,2773,505,0.8129753470420837,280300,1401500,5.7049328461289406e-05,-172.0,1.0,nan,-1.7731033563613892,0.0007,280299
-0.048820700496435165,2774,505,0.8183454275131226,280400,1402000,0.0013088904088363051,-172.0,1.0,nan,-1.7842289209365845,0.0007,280399
-0.03984186798334122,2775,505,0.8145816326141357,280500,1402500,0.00034825154580175877,-172.0,1.0,nan,-1.790574312210083,0.0007,280499
