train/n_updates,time/time_elapsed,time/episodes,train/critic_loss,train/learning_rate,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,train/actor_loss
116600,783,1168,43199.99924926758,0.001,149,-507.71664507,100.0,116800,1297.51595703125
117000,785,1172,39340.545212402336,0.001,149,-507.62745915,100.0,117200,1281.0078588867189
117400,788,1176,40870.07934570313,0.001,149,-507.89348869,100.0,117600,1255.447431640625
117800,791,1180,43620.668645019534,0.001,149,-508.14565018,100.0,118000,1268.2711083984375
118200,794,1184,39356.888115234375,0.001,149,-507.96599925,100.0,118400,1256.0853515625
118600,796,1188,44280.40712158203,0.001,149,-509.09825707,100.0,118800,1238.2950537109375
119000,799,1192,45489.760783691396,0.001,149,-509.02363128,100.0,119200,1225.7930126953124
119400,802,1196,41500.1278881836,0.001,149,-508.73622683,100.0,119600,1219.0617431640626
119800,804,1200,37525.17334411621,0.001,149,-508.52712437,100.0,120000,1195.1434741210935
120200,807,1204,38574.11163330078,0.001,149,-508.55873771,100.0,120400,1221.3452954101565
120600,810,1208,46167.56325073242,0.001,149,-508.91214404,100.0,120800,1193.2672094726565
