rollout/ep_len_mean,time/total_timesteps,train/n_updates,time/episodes,time/fps,rollout/ep_rew_mean,train/actor_loss,train/critic_loss,time/time_elapsed,train/learning_rate
100.0,109600,109400,1096,155,-17316.98247615,5073.978369140625,428517.9962158203,702,0.001
100.0,110000,109800,1100,155,-17271.149299999997,5111.8444921875,369259.87416503904,705,0.001
100.0,110400,110200,1104,155,-17212.445335739998,5103.4715625,392100.04030761716,707,0.001
100.0,110800,110600,1108,155,-17139.42539166,5110.3343359375,367289.33236328117,710,0.001
100.0,111200,111000,1112,155,-17100.084240379998,5090.669365234375,363069.0261865234,712,0.001
100.0,111600,111400,1116,156,-17124.65306233,5093.684794921875,453257.50415527343,715,0.001
100.0,112000,111800,1120,156,-17054.39016227,5123.039443359375,369051.6750146484,717,0.001
100.0,112400,112200,1124,156,-17023.61205733,5115.760537109375,394753.4334570313,720,0.001
100.0,112800,112600,1128,156,-17018.70739281,5135.590390625,428522.1019824219,723,0.001
100.0,113200,113000,1132,156,-16966.12292975,5125.74419921875,365644.35413085937,725,0.001
100.0,113600,113400,1136,156,-16915.87931448,5103.92984375,321216.3931640625,728,0.001
100.0,114000,113800,1140,156,-16906.14098532,5133.92451171875,401867.7028320312,730,0.001
100.0,114400,114200,1144,155,-16927.2891618,5133.606279296875,398116.5188671875,733,0.001
100.0,114800,114600,1148,155,-16918.482687969998,5115.288154296875,411622.62125,735,0.001
100.0,115200,115000,1152,155,-16868.779042200003,5141.3708984375,333225.48324707034,738,0.001
100.0,115600,115400,1156,155,-16847.53285134,5149.418486328125,358275.0123535156,741,0.001
100.0,116000,115800,1160,155,-16816.44255049,5127.141572265625,349057.4918652344,743,0.001
100.0,116400,116200,1164,155,-16823.68012243,5137.457353515625,420630.98916015617,746,0.001
100.0,116800,116600,1168,155,-16757.563988189995,5153.040693359375,336253.0318652344,748,0.001
100.0,117200,117000,1172,155,-16620.9112342,5165.151728515625,426073.0209082032,751,0.001
100.0,117600,117400,1176,155,-16542.433443870003,5162.958427734375,417065.444140625,754,0.001
100.0,118000,117800,1180,155,-16468.498554259997,5151.91705078125,424467.5329345704,756,0.001
100.0,118400,118200,1184,155,-16435.550233940005,5193.638515625,363509.43037109374,759,0.001
100.0,118800,118600,1188,155,-16401.33679375,5161.828447265625,485399.0735839844,761,0.001
100.0,119200,119000,1192,156,-16378.62751896,5143.765322265625,382569.05666503904,764,0.001
100.0,119600,119400,1196,156,-16328.61433496,5184.00701171875,404507.6656323241,766,0.001
100.0,120000,119800,1200,156,-16326.698573210002,5175.083076171875,412910.8705908203,769,0.001
100.0,120400,120200,1204,156,-16304.55615263,5219.2658984375,410014.50068603526,771,0.001
